id,teil_id,bild_id,befund_id,befundart,kontrast,kontrast_skala,tiefe_um,tiefe_methode
K041,T-001,B-03,F041,RIEFE,17.0,roh,1.40,DUMMY
K042,T-001,B-03,F042,RIEFE,17.1,roh,1.41,DUMMY
K043,T-001,B-03,F043,RIEFE,17.2,roh,1.42,DUMMY
K044,T-001,B-03,F044,RIEFE,17.3,roh,1.43,DUMMY
K045,T-001,B-03,F045,RIEFE,17.4,roh,1.44,DUMMY
K046,T-001,B-03,F046,RIEFE,17.5,roh,1.45,DUMMY
K047,T-001,B-03,F047,RIEFE,17.6,roh,1.46,DUMMY
K048,T-001,B-03,F048,RIEFE,17.7,roh,1.47,DUMMY
K049,T-001,B-03,F049,RIEFE,17.8,roh,1.48,DUMMY
K050,T-001,B-03,F050,RIEFE,17.9,roh,1.49,DUMMY
K051,T-001,B-03,F051,RIEFE,18.0,roh,1.00,DUMMY
K052,T-001,B-03,F052,RIEFE,18.1,roh,1.01,DUMMY
K053,T-001,B-03,F053,RIEFE,18.2,roh,1.02,DUMMY
K054,T-001,B-03,F054,RIEFE,18.3,roh,1.03,DUMMY
K055,T-001,B-03,F055,RIEFE,18.4,roh,1.04,DUMMY
K056,T-001,B-03,F056,RIEFE,18.5,roh,1.05,DUMMY
K057,T-001,B-03,F057,RIEFE,18.6,roh,1.06,DUMMY
K058,T-001,B-03,F058,RIEFE,18.7,roh,1.07,DUMMY
K059,T-001,B-03,F059,RIEFE,18.8,roh,1.08,DUMMY
K060,T-001,B-04,F060,RIEFE,18.9,roh,1.09,DUMMY
K061,T-001,B-04,F061,RIEFE,19.0,roh,1.10,DUMMY
K062,T-001,B-04,F062,RIEFE,19.1,roh,1.11,DUMMY
K063,T-001,B-04,F063,RIEFE,19.2,roh,1.12,DUMMY
K064,T-001,B-04,F064,RIEFE,19.3,roh,1.13,DUMMY
K065,T-001,B-04,F065,RIEFE,19.4,roh,1.14,DUMMY
K066,T-001,B-04,F066,RIEFE,19.5,roh,1.15,DUMMY
K067,T-001,B-04,F067,RIEFE,19.6,roh,1.16,DUMMY
K068,T-001,B-04,F068,RIEFE,19.7,roh,1.17,DUMMY
K069,T-001,B-04,F069,RIEFE,19.8,roh,1.18,DUMMY
K070,T-001,B-04,F070,RIEFE,19.9,roh,1.19,DUMMY
K071,T-001,B-04,F071,RIEFE,20.0,roh,1.20,DUMMY
K072,T-001,B-04,F072,RIEFE,20.1,roh,1.21,DUMMY
K073,T-001,B-04,F073,RIEFE,20.2,roh,1.22,DUMMY
K074,T-001,B-04,F074,RIEFE,20.3,roh,1.23,DUMMY
K075,T-001,B-04,F075,RIEFE,20.4,roh,1.24,DUMMY
K076,T-001,B-04,F076,RIEFE,20.5,roh,1.25,DUMMY
K077,T-001,B-04,F077,RIEFE,20.6,roh,1.26,DUMMY
K078,T-001,B-04,F078,RIEFE,20.7,roh,1.27,DUMMY
K079,T-001,B-04,F079,RIEFE,20.8,roh,1.28,DUMMY
K080,T-001,B-05,F080,RIEFE,20.9,roh,1.29,DUMMY
K081,T-001,B-05,F081,RIEFE,17.0,roh,1.30,DUMMY
K082,T-001,B-05,F082,RIEFE,17.1,roh,1.31,DUMMY
K083,T-001,B-05,F083,RIEFE,17.2,roh,1.32,DUMMY
K084,T-001,B-05,F084,RIEFE,17.3,roh,1.33,DUMMY
K085,T-001,B-05,F085,RIEFE,17.4,roh,1.34,DUMMY
K086,T-001,B-05,F086,RIEFE,17.5,roh,1.35,DUMMY
K087,T-001,B-05,F087,RIEFE,17.6,roh,1.36,DUMMY
K088,T-001,B-05,F088,RIEFE,17.7,roh,1.37,DUMMY
K089,T-001,B-05,F089,RIEFE,17.8,roh,1.38,DUMMY
K090,T-001,B-05,F090,RIEFE,17.9,roh,1.39,DUMMY
K091,T-001,B-05,F091,RIEFE,18.0,roh,1.40,DUMMY
K092,T-001,B-05,F092,RIEFE,18.1,roh,1.41,DUMMY
K093,T-001,B-05,F093,RIEFE,18.2,roh,1.42,DUMMY
K094,T-001,B-05,F094,RIEFE,18.3,roh,1.43,DUMMY
K095,T-001,B-05,F095,RIEFE,18.4,roh,1.44,DUMMY
K096,T-001,B-05,F096,RIEFE,18.5,roh,1.45,DUMMY
K097,T-001,B-05,F097,RIEFE,18.6,roh,1.46,DUMMY
K098,T-001,B-05,F098,RIEFE,18.7,roh,1.47,DUMMY
K099,T-001,B-05,F099,RIEFE,18.8,roh,1.48,DUMMY
K100,T-001,B-06,F100,RIEFE,18.9,roh,1.49,DUMMY
K101,T-001,B-06,F101,RIEFE,19.0,roh,1.00,DUMMY
K102,T-001,B-06,F102,RIEFE,19.1,roh,1.01,DUMMY
K103,T-001,B-06,F103,RIEFE,19.2,roh,1.02,DUMMY
K104,T-001,B-06,F104,RIEFE,19.3,roh,1.03,DUMMY
K105,T-001,B-06,F105,RIEFE,19.4,roh,1.04,DUMMY
K106,T-001,B-06,F106,RIEFE,19.5,roh,1.05,DUMMY
K107,T-001,B-06,F107,RIEFE,19.6,roh,1.06,DUMMY
K108,T-001,B-06,F108,RIEFE,19.7,roh,1.07,DUMMY
K109,T-001,B-06,F109,RIEFE,19.8,roh,1.08,DUMMY
K110,T-001,B-06,F110,RIEFE,19.9,roh,1.09,DUMMY
K111,T-001,B-06,F111,RIEFE,20.0,roh,1.10,DUMMY
K112,T-001,B-06,F112,RIEFE,20.1,roh,1.11,DUMMY
K113,T-001,B-06,F113,RIEFE,20.2,roh,1.12,DUMMY
K114,T-001,B-06,F114,RIEFE,20.3,roh,1.13,DUMMY
K115,T-001,B-06,F115,RIEFE,20.4,roh,1.14,DUMMY
K116,T-001,B-06,F116,RIEFE,20.5,roh,1.15,DUMMY
K117,T-001,B-06,F117,RIEFE,20.6,roh,1.16,DUMMY
K118,T-001,B-06,F118,RIEFE,20.7,roh,1.17,DUMMY
K119,T-001,B-06,F119,RIEFE,20.8,roh,1.18,DUMMY
K120,T-001,B-07,F120,RIEFE,20.9,roh,1.19,DUMMY
K121,T-001,B-07,F121,RIEFE,17.0,roh,1.20,DUMMY
K122,T-001,B-07,F122,RIEFE,17.1,roh,1.21,DUMMY
K123,T-001,B-07,F123,RIEFE,17.2,roh,1.22,DUMMY
K124,T-001,B-07,F124,RIEFE,17.3,roh,1.23,DUMMY
K125,T-001,B-07,F125,RIEFE,17.4,roh,1.24,DUMMY
K126,T-001,B-07,F126,RIEFE,17.5,roh,1.25,DUMMY
K127,T-001,B-07,F127,RIEFE,17.6,roh,1.26,DUMMY
K128,T-001,B-07,F128,RIEFE,17.7,roh,1.27,DUMMY
K129,T-001,B-07,F129,RIEFE,17.8,roh,1.28,DUMMY
K130,T-001,B-07,F130,RIEFE,17.9,roh,1.29,DUMMY
K131,T-001,B-07,F131,RIEFE,18.0,roh,1.30,DUMMY
K132,T-001,B-07,F132,RIEFE,18.1,roh,1.31,DUMMY
K133,T-001,B-07,F133,RIEFE,18.2,roh,1.32,DUMMY
K134,T-001,B-07,F134,RIEFE,18.3,roh,1.33,DUMMY
K135,T-001,B-07,F135,RIEFE,18.4,roh,1.34,DUMMY
K136,T-001,B-07,F136,RIEFE,18.5,roh,1.35,DUMMY
K137,T-001,B-07,F137,RIEFE,18.6,roh,1.36,DUMMY
K138,T-001,B-07,F138,RIEFE,18.7,roh,1.37,DUMMY
K139,T-001,B-07,F139,RIEFE,18.8,roh,1.38,DUMMY
K140,T-001,B-08,F140,RIEFE,18.9,roh,1.39,DUMMY
K141,T-001,B-08,F141,RIEFE,19.0,roh,1.40,DUMMY
K142,T-001,B-08,F142,RIEFE,19.1,roh,1.41,DUMMY
K143,T-001,B-08,F143,RIEFE,19.2,roh,1.42,DUMMY
K144,T-001,B-08,F144,RIEFE,19.3,roh,1.43,DUMMY
K145,T-001,B-08,F145,RIEFE,19.4,roh,1.44,DUMMY
K146,T-001,B-08,F146,RIEFE,19.5,roh,1.45,DUMMY
K147,T-001,B-08,F147,RIEFE,18.0,roh,0.20,DUMMY
K148,T-001,B-08,F148,RIEFE,18.1,roh,0.25,DUMMY
K149,T-001,B-08,F149,RIEFE,18.2,roh,0.30,DUMMY
K150,T-001,B-08,F150,RIEFE,18.3,roh,0.35,DUMMY
K151,T-001,B-08,F151,RIEFE,18.4,roh,0.40,DUMMY
K152,T-001,B-08,F152,RIEFE,5.0,roh,0.10,DUMMY
K153,T-001,B-08,F153,RIEFE,5.2,roh,0.11,DUMMY
K154,T-001,B-08,F154,RIEFE,5.4,roh,0.12,DUMMY
K155,T-001,B-08,F155,RIEFE,5.6,roh,0.13,DUMMY
K156,T-001,B-08,F156,RIEFE,5.8,roh,0.14,DUMMY
K157,T-001,B-08,F157,RIEFE,6.0,roh,0.15,DUMMY
K158,T-001,B-08,F158,RIEFE,6.2,roh,0.16,DUMMY
K159,T-001,B-08,F159,RIEFE,6.4,roh,0.17,DUMMY
K160,T-001,B-09,F160,RIEFE,6.6,roh,0.18,DUMMY
K161,T-001,B-09,F161,RIEFE,6.8,roh,0.19,DUMMY
K162,T-001,B-09,F162,RIEFE,7.0,roh,0.20,DUMMY
K163,T-001,B-09,F163,RIEFE,7.2,roh,0.21,DUMMY
K164,T-001,B-09,F164,RIEFE,7.4,roh,0.22,DUMMY
K165,T-001,B-09,F165,RIEFE,7.6,roh,0.23,DUMMY
K166,T-001,B-09,F166,RIEFE,7.8,roh,0.24,DUMMY
K167,T-001,B-09,F167,RIEFE,8.0,roh,0.25,DUMMY
K168,T-001,B-09,F168,RIEFE,8.2,roh,0.26,DUMMY
K169,T-001,B-09,F169,RIEFE,8.4,roh,0.27,DUMMY
K170,T-001,B-09,F170,RIEFE,8.6,roh,0.28,DUMMY
K171,T-001,B-09,F171,RIEFE,8.8,roh,0.29,DUMMY
K172,T-001,B-09,F172,RIEFE,9.0,roh,0.10,DUMMY
K173,T-001,B-09,F173,RIEFE,9.2,roh,0.11,DUMMY
K174,T-001,B-09,F174,RIEFE,9.4,roh,0.12,DUMMY
K175,T-001,B-09,F175,RIEFE,9.6,roh,0.13,DUMMY
K176,T-001,B-09,F176,RIEFE,9.8,roh,0.14,DUMMY
K177,T-001,B-09,F177,RIEFE,10.0,roh,0.15,DUMMY
K178,T-001,B-09,F178,RIEFE,10.2,roh,0.16,DUMMY
K179,T-001,B-09,F179,RIEFE,10.4,roh,0.17,DUMMY
K180,T-001,B-10,F180,RIEFE,10.6,roh,0.18,DUMMY
K181,T-001,B-10,F181,RIEFE,10.8,roh,0.19,DUMMY
K182,T-001,B-10,F182,RIEFE,5.0,roh,0.20,DUMMY
K183,T-001,B-10,F183,RIEFE,5.2,roh,0.21,DUMMY
K184,T-001,B-10,F184,RIEFE,5.4,roh,0.22,DUMMY
K185,T-001,B-10,F185,RIEFE,5.6,roh,0.23,DUMMY
K186,T-001,B-10,F186,RIEFE,5.8,roh,0.24,DUMMY
K187,T-001,B-10,F187,RIEFE,6.0,roh,0.25,DUMMY
K188,T-001,B-10,F188,RIEFE,6.2,roh,0.26,DUMMY
K189,T-001,B-10,F189,RIEFE,6.4,roh,0.27,DUMMY
K190,T-001,B-10,F190,RIEFE,6.6,roh,0.28,DUMMY
K191,T-001,B-10,F191,RIEFE,6.8,roh,0.29,DUMMY
K192,T-001,B-10,F192,RIEFE,7.0,roh,0.10,DUMMY
K193,T-001,B-10,F193,RIEFE,7.2,roh,0.11,DUMMY
K194,T-001,B-10,F194,RIEFE,7.4,roh,0.12,DUMMY
K195,T-001,B-10,F195,RIEFE,9.0,roh,1.30,DUMMY
K196,T-001,B-10,F196,RIEFE,9.3,roh,1.35,DUMMY
K197,T-001,B-10,F197,RIEFE,9.6,roh,1.40,DUMMY
K198,T-001,B-10,F198,RIEFE,9.9,roh,1.45,DUMMY
K199,T-001,B-10,F199,RIEFE,10.2,roh,1.50,DUMMY
K200,T-001,B-11,F200,RIEFE,10.5,roh,1.55,DUMMY
